蘭芝,水活細胞再生補濕液 (100ml),HK$250.0
MVSK,MVSK®矜貴黑曜石鱘魚子精華霜(面+頸) (50ml),HK$167.8
HABA,VC 美白重生露 (180ml),HK$460.0
DEVDO,透明質酸B5長效保濕冷凍注射精華 (30piece),HK$297.6
瑞士葆麗美,活氧細胞緊緻套裝 (4件裝)  (4piece),HK$1998.0
蘭金,清柔卸妝潔面套裝 (2piece),HK$400.0
It's Skin,晶鑽蝸牛全效修護乳液 (滋潤型)  (140ml),HK$180.0
FRESH,玫瑰保濕啫喱霜 (50ml),HK$320.0
Kose Cosmeport,速效卸妝油套裝 (2件裝)  (430ml),HK$48.0
SNP,小兔子美白面膜  (10piece),HK$48.0
EVIAN,法國天然礦泉水噴霧   (300ml),HK$55.0
高絲,透明質酸面膜30片裝 (30piece),HK$68.0
KRACIE,肌美精深層美白3D立體保濕美容液面膜 (4piece),HK$68.0
瑞士葆麗美,尊貴魚子睡眠面膜 (50ml),HK$1448.0
MVSK,MVSK®24K金羊胎素再生面膜(三段式程序) 100ml (100ml),HK$191.8
森田藥粧,複合膠原黑面膜  (7piece),HK$48.0
肌研,極潤x白潤x彈力肌面膜優惠裝  (12piece),HK$94.4
Clarins,水潤活肌保濕霜(任何肌膚)  (50ml),HK$391.0
雅詩蘭黛,淡斑化妝水 (200ml),HK$365.0
希思黎,全效細緻毛孔精華 (30ml),HK$900.0
蘭芝,深層水潤補濕液 (120ml),HK$184.0
PAPA RECIPE,春雨玫瑰黃金蜂蜜面膜 (5 片裝) (5piece),HK$58.0
SK-II,R.N.A. 立體緊緻精華霜 (50g),HK$660.0
泉肌,透明質酸保濕潔面卸妝水 (500ml),HK$98.0
Kose Cosmeport,BABYISH面膜 (50piece),HK$98.0
FRESH,紅茶抗皺緊緻精華 (50ml),HK$680.0
CUREL,水凝保濕乳液 (120ml),HK$180.0
佑天娜,Premium Puresa蜂皇漿黃金果凍面膜 (3 片裝) (3piece),HK$48.0
科颜氏,特效清爽保濕爽膚水  (250ml),HK$199.0
Barrier Repair (Mandom Corp),彈力嫩肌面膜   (10piece),HK$58.0
可萊絲,高效水潤保濕導入面膜 (10piece),HK$85.0
A.H.C,高效 B5 水合舒緩保濕洗面乳 (180ml),HK$73.0
MVSK,MVSK®深層保濕滑膚海洋面膜(水母黏液+海星細胞+活性海藻+冰川水)  (100ml...,HK$143.8
